"Category Name","Price Range","Total Amount","Volume of Orders"
"Beverages","1. Below $20","102954","317"
"Beverages","2. $20 - $50","23526","28"
"Beverages","3. Over $50","141398","24"
"Condiments","1. Below $20","27299","85"
"Condiments","2. $20 - $50","78748","121"
"Confections","1. Below $20","53365","197"
"Confections","2. $20 - $50","91427","106"
"Confections","3. Over $50","22562","16"
"Dairy Products","1. Below $20","16572","81"
"Dairy Products","2. $20 - $50","146786","204"
"Dairy Products","3. Over $50","71154","54"
"Grains/Cereals","1. Below $20","24074","99"
"Grains/Cereals","2. $20 - $50","71679","91"
"Meat/Poultry","1. Below $20","4728","36"
"Meat/Poultry","2. $20 - $50","70699","96"
"Meat/Poultry","3. Over $50","87596","36"
"Produce","1. Below $20","2433","13"
"Produce","2. $20 - $50","55731","81"
"Produce","3. Over $50","41818","39"
"Seafood","1. Below $20","65106","217"
"Seafood","2. $20 - $50","36980","70"
"Seafood","3. Over $50","29173","27"
