"Supplier Region","Category Name","Total Units in Stock","Total Units on Order","Total Reorder Level"
"America","Beverages","289","0","60"
"Asia-Pacific","Beverages","71","50","65"
"Europe","Beverages","125","0","25"
"America","Condiments","259","100","45"
"Asia-Pacific","Condiments","37","70","30"
"Europe","Condiments","32","0","15"
"America","Confections","51","70","25"
"Asia-Pacific","Confections","103","50","35"
"Europe","Confections","140","0","60"
"America","Dairy Products","98","0","0"
"Europe","Dairy Products","295","140","110"
"Asia-Pacific","Grains/Cereals","38","0","25"
"Europe","Grains/Cereals","244","90","130"
"Asia-Pacific","Meat/Poultry","0","0","0"
"Europe","Meat/Poultry","0","0","0"
"America","Produce","15","0","10"
"Asia-Pacific","Produce","20","0","10"
"Europe","Produce","26","0","0"
"America","Seafood","270","0","60"
"Asia-Pacific","Seafood","42","0","0"
"Europe","Seafood","234","50","65"
